Place Name,Rating,About Place
Lee Kong Chian Natural History Museum,3.7,"Trace the history of life on earth at the Lee Kong Chian Natural History Museum, a museum of natural history housed at the Kent Ridge Park campus of the prestigious National University of Singapore.  This comprehensive museum possesses a catalogue of over 560,000 specimens, including the Raffles Natural History Collection."
Thian Hock Keng Temple,3.7,"The Thian Hock Keng Temple is Chinatown's oldest and most important Hokkien temple, translating into a 'Palace of Heavenly Happiness. Also known as Tianfu Temple, it was built for the worship of Mazu, a Chinese sea Goddess. A tranquil refuge, the beautiful temple features highly symbolic architectural designs: the stone lions standing at the entrance supposedly ward off evil spirits, and phoenix and peony paintings (in the central hall) epitomizes peace and good tidings."
Former Ford Factory,3.6,"The Former Ford Factory is a historic site and the venue of a permanent World War II exhibition, located at Upper Bukit Timah Road. Built in 1941 as an automobile factory, the building gained importance as it was the site of British surrender to the Japanese during World War II, in 1942. This national monument is an ideal location for history buffs and tourists to learn about Singapore’s colonial history, and how the Japanese occupation changed the landscape of the country."
Kwan Im Thong Hood Cho Temple,3.6,"Kwan Im Thong Hood Cho Temple is one of Singapore's major Buddhist temples, located at the Waterloo Street. Dedicated to Kuan Yin or Avalokitesvara, the Goddess of Mercy, devotees believe that they are blessed after worshipping at this temple, which makes it important to the Chinese community living in Singapore. Kwan Im Thong Hood Cho Temple is also very popular for its divination predictions, which are claimed to be highly accurate."
Ginger Garden,3.6,"The Ginger Garden is one of the several unique gardens that form the Singapore Botanical Gardens. These gardens that lie next to the National Orchid Garden are known as the richest and most extraordinary gardens as they contain the most amount of different species under one premise. In fact, some of the plants found in the Botanic Garden are so rare that they are rarely found in more than one or two locations. The Ginger Garden is a one-hectare land that is filled with a variety of different species of ginger as well as the related families."
Indian Heritage Centre Singapore,3.6,"Situated in Little India, the Indian Heritage Centre is a cultural centre and museum showcasing the culture, heritage and history of Singapore's Indian community. Modelled like a traditional Indian stepwell or Baoli, this four-storey building is home to five permanent galleries."
HortPark,3.6,"The 9-hectare HortPark, part of the Southern Ridges in Singapore, is garden resource centre which is said to be the first one-stop-shop gardening lifestyle hub in Asia. This beautiful park brings together the educational, recreational and gardening-related activities under a single roof. HortPark is a go-to place for gardening enthusiasts, families and community groups with interest in the environment."
Emerald Hill Road,3.6,"Breathtaking architecture, quaint shophouses and beautiful heritage buildings make Emerald Hill Road one of Singapore's hidden gems. The tree-lined boulevard with trendy bars and terrace houses (which Emerald Road is most famous for), makes for a picture postcard neighbourhood - a verdant stretch standing in stark contrast to its immediate neighbour, Orchard Road, which is one of Singapore's main shopping areas, always full of hustle and bustle. It is worth walking by for those visiting Orchard Road. Emerald Hill Road is littered with professional photographers as well as amateurs, all of whom are captivated by the exquisite and elegant architecture splashed all along this frangipani scented Road."
Changi Village,3.6,"Changi Village is a marvel among all the waterfront stops in Singapore. Located at the Northern side of Changi which itself is situated towards the eastern end of Singapore, this village exudes a unique charm with white shorelines decorated all through with coconut palms. Access to the beach, good food, sanctuaries and nature make Changi Village ideal for a tranquil day-out."
The Istana,3.6,"Istana, meaning 'Palace' in Malay, is the office and official residence of the President of Singapore and the working office of the Prime Minister of Singapore. The grand, whitewashed, neoclassical building is set in 16 hectares of ground on the Orchard Road. Built by the British between 1867 and 1869, The Istana is open to visitors on five selected statutory holidays in a year:  Chinese New Year (January/February), Deepavali (October/November), Hari Raya Puasa (Eid - marking the end of Ramadan festival), Labour Day (May 1) and a chosen date before the National Day (7 August). There is a very eventful changing of guards on the first Sunday of every month which is the best time to visit Istana."
Reflections at Bukit Chandu,3.6,"Built upon a quiet grassy knoll of Bukit Chandu in Singapore, Reflections at Bukit Chandu is a small, interactive museum and heritage centre recounting the fierce 1942 Battle of Pasir Panjang (against the Japanese in Singapore during World War II). Developed and managed by the National Archives of Singapore, this tiny museum is filled with interactive exhibits, artefacts, audio and video recordings, and wax mannequins depicting the battle and paying tribute to the 42 brave soldiers of the Malay Regiment, many of whom lost their lives during the Second World War. A must-visit for those interested in military history."
Parkview Square,3.5,"Standing tall on North Bridge Road, Parkview Square is one of the grandest and most expensive office buildings in Singapore. Built in an exquisite Art Deco style of architecture, this building houses the Honorary Consulate of Oman, and the embassies of the United Arab Emirates, Austria and Mongolia. It is also nicknamed the Gotham-building because of the striking similarities to the buildings of the fictional city. A floor-to-ceiling 3-storey high wine cellar lies in the lobby marking the presence of the bar and dining space, ATLAS. The ambient floor lights and the comfortable armchairs make this bar a luxuriant experience."
Little India Arcade,3.5,"The Little India Arcade is a bustling shopping centre nestled in the heart of Little India. The vibrant and chaotic winding alley has a collection of 20th-century shophouses selling jewellery, silverware, silk sarees, handicrafts, traditional Indian clothes and souvenirs."
Gillman Barracks,3.5,"Gillman Barracks, once the house of the British Army, is a centre of contemporary arts in Singapore. The arts cluster is home to international art galleries, restaurants and the NTU Centre for Contemporary Art, part of the prestigious Nanyang Technological University. These services are all found in the well-maintained colonial barracks found at the site. One can marvel at the elegant blend of the colonial architecture of Gillman Barracks and the buildings with the ever-evolving arts sphere of the modern world."
Sun Yat Sen Nanyang Memorial Hall,3.5,"The Sun Yat Sen Nanyang Memorial Hall is a two-storey museum located in Balestier, Singapore. The museum is dedicated to the life of the popular Chinese leader Sun Yat Sen, who is often considered the founding father of the Republic of China. Also known as Wan Qing Yuan, it is a national monument situated within the well-maintained villa that used to serve as the headquarters of Sun Yat Sen's Chinese Revolutionary Alliance, and it was here that he planned three uprisings."
Labrador Nature Reserve,3.5,"Labrador Nature Park, also known as Labrador Nature Reserve, is a 9-km long trail of greenery along the Southern Ridges of Singapore. With its rich history and picturesque setting, the nature reserve is blessed with nature trails, heritage ruins and a seaside promenade. Labrador Reserve is home to more than 70 species of birds and animals along with historical relics of the Second World War and the Labrador Secret Tunnels, making it ideal to visit for bird-watchers, shutterbugs, joggers, nature lovers and history enthusiasts."
Jacob Ballas Children's Garden,3.5,"A part of the Singapore Botanic Gardens, the Jacob Ballas Children's Garden is Asia's first garden dedicated solely to children. Themed on 'Life on Earth Depends on Plants', this kid-centric garden has varied interactive zones along with a play area with a farm, an orchard and a forest with streams and ponds. The other attractions for the young ones are the suspension bridge and the treehouses. At Jacob Ballas Children's Garden, the kids are encouraged to observe how the plants grow and learn simple gardening techniques."
Sri Srinivasa Perumal Temple,3.5,"The Sri Srinivasa Perumal Temple is a Hindu place of worship located along Serangoon Road in Little India. A shrine to Lord Vishnu, the Hindu God of Preservation, this temple is known for its magnificently ornate 20-metre-high Gopuram (entrance tower) which depicts the various incarnations of the deity."
Chinese Heritage Centre Singapore,3.2,"The Chinese Heritage Centre is an autonomous institute of the prestigious Nanyang Technological University (NTU), Singapore, located in the historic Administration Building of the same. The centre includes a library, research centre and a museum with the building being a landmark reputed to be the only university created by the Chinese people living outside China. The tourists find it pleasant to stroll in the Yunnan Garden and stop by the beautiful Nantah Lake apart from looking at the unique architecture of this university building."
German Girl Shrine,3.5,"The German Girl Shrine, also known as Berlin Heilingtum, is situated on the island of Pulau Ubin and is one of the most unconventional shrines in Singapore, dedicated to an unnamed German girl who is worshipped as a local deity. An altar is placed within a hardwood structure that was built in the place of a small yellow hut to honour her memory, where visitors pay tribute to the unnamed German girl by leaving behind an array of items like candles, fruits, perfumes, nail polish, and lipstick as offerings."
Bollywood Veggies,3.5,"Bollywood Veggies is an organic farming collective located at Kranji, Singapore. Spread across 10 acres, this farm grows more than 100 different species of plants and is the country’s largest supplier of bananas. This serene, charming farm is the perfect weekend getaway from the bustle of the urban jungle – a great place to unwind in the midst of nature!"
MINT Museum Of Toys,3.5,"The Moment of Imagination and Nostalgia with Toys – or MINT – Museum of Toys is a museum that showcases a private collection of vintage toys from all around the world. Located near City Hall at Seah Street, the MINT Museum houses a vast collection of over 50,000 toys from around the world, some of them more than a hundred and fifty years old. Considered the largest toy collection in all of Southeast Asia, the MINT Museum of Toys is ideal for both children and adults, offering them both imagination and nostalgia."
Telok Blangah Hill Park,3.4,"Lying between the exuberant Mount Faber Park and Vibrant HortPark of the Southern Ridges of Singapore, Telok Blangah Hill Park is a calm, peaceful getaway to enjoy nature with a view. Even though joggers and trekkers may treat it as a mere passageway between two parks, there's much more to it. On one end of Telok Blangah Hill Park is the well-known Henderson Waves, which is a 274 metre long and 36-metre high undulatory structure with unique curved metal ribs, and on the other end is the Forest Walk which is a 1.3-kilometre long metal pathway offering breathtaking, bird-eye views of the forest below. Another trail to not miss in Telok Blangah Hill Park is the Earth Trail which runs parallel to the Forest Walk, offering a view of the forest from ground-level."
MacRitchie Nature Trail,2.5,"Once in a while, we all need a quick getaway, an escape from the hustle bustle of our everyday lives, even if it is just for an hour or two. MacRitchie Nature Trail provides just the solace that you seek in a busy city like Singapore. Situated in MacRitchie Reservoir Park along Lornie Road since 1867, the lush nature trail is an escape to pristine waters and a dense, secondary forest in the heart of the city."
Mount Faber Park,4.4,"One of the most popular sightseeing destinations in Singapore, Mount Faber Park is a hill rising up to a height o 94 meters and located within the Bukit Merah town. Overlooking the region of Telok Blangah, its peak can be accessed via the Mount Faber Road or the Morse Road but there are numerous trails leading right up to the top that has the adventurous tourists walk up the hill."
Bukit Batok Nature Park,2.4,"The Bukit Batok Nature Park (BBNP) is a quiet, serene park near the Bukit Timah Nature Reserve. The major highlight of the lush park is the quarry-turned-pond located right at the entrance. The 36-hectare park is perfect for jogging, walking or biking on the trails surrounded by the lush green beauty of the secondary forest. Many also prefer exercising at Bukit Batok Nature Park as it contains fitness areas and many bike trails of varying difficulty."
Esplanade - Theatres On The Bay,4.5,"The Esplanade is a performing arts centre situated near the Marina Bay which focuses on international artists and has hosted over 37,000 shows. The Esplanade has had over 26 million guests for over 15 years and counting. It is a 60,000 square meter expanse dedicated just to theatre and arts. Situated right at the mouth of the Singapore River, it got its name from the Esplanade Park, in which Theatres by the bay is located. This performing arts centre has a concert hall with a seating capacity of about 1,600 and a theatre capacity of 2000 audience members for the performing arts. The Esplanade stages new shows every few months and believe in providing opportunities to the emerging artists and practitioners. The in-house programming team presents over 14 festivals and 20 ongoing series throughout the year."
Singapore River,NaN,"The Singapore River is a major waterway that runs through the city of Singapore. A favourite nightlife district and tourist hotspot, the area around the river is abuzz with the excitement of buzzing bars, eclectic eateries, and charged clubs spread across Robertson Quay, Boat Quay, and Clarke Quay. The 3.2 kilometre-long river snakes through the middle of the city, passing through Old Singapore - with Victorian-era buildings and small communities - in the north, and the Central Business District with its swanky new buildings and complexes in the south."
Raffles Landing Site,3.1,"The historic Raffles Landing Site marks the location where Sir Stamford Raffles, British sailor and the founder of modern Singapore, is said to have first set foot on the island. Situated at Boat Quay on the banks of the Singapore River in the Central Area, the site is now marked by a towering while poly-marble statute or Sir Raffles himself, and is a famous tourist destination and photo-op. Raffles Landing Site is popular among history buffs and tourists looking to learn the story of Singapore from a nondescript fishing village to the huge metropolis it is today."
Boat Quay,3.8,"The Boat Quay in Singapore is a historical quay located on the southern bank of the Singapore River; which formerly served aquatic trade in the country, and now houses a number of bars, pubs and restaurants. The shophouses located here earlier aided in the shipping business; and though now not in use, they have been conserved carefully, making the area a busy commercial area frequented by locals and tourists alike."
Singapore Cable Car,4.1,"The Singapore Cable Car is a gondola lift that facilitates an aerial link from Mount Faber to Sentosa’s resort island. It affords a bird’s eye view of the main attractions of Singapore like Mount Faber, Harbourfront, Merlion, Sentosa Island and the Universal Studios Singapore."
VivoCity,4.2,"VivoCity, the largest shopping mall in Singapore, is located at HarbourFront (close to the HarbourFrount MRT station). It is one of those very few shopping complexes that is famed for its open space. VivoCity also houses a large outdoor kid's playground on level two, along with a rooftop 'Skypark'."
Sim Lim Square,2.4,"Sim Lim Square is a six-storey retail complex known for being the hub of electronic items. Also known as SLS, it offers all kinds of electronic items like mobiles, cameras, laptop, computers, along with offering software updates and the repair and servicing of electronic products."
Supertree Grove,2.5,"Nestled in Gardens by the Bay of Sentosa Island, the Supertree Grove are artificially made, electronic tree structures. These trees are multifunctional that act as canopies and shade the area during the day and metamorphose into a dazzling exhibit of sound and light at night. These 18 steel-clad concrete structures, measuring between 25 and 50 metres tall, are adorned with around 162,900 plants. The vertical gardens come alive each night with the stunning Garden Rhapsody, a light and sound show."
Fountain of Wealth,4.2,"One of Singapore's iconic sights, the Fountain of Wealth is the largest fountain in the world (listed in the Guinness Book of Records), located at Suntec City - one of Singapore's largest shopping malls. Towering at 13.8 metres, the Fountain of Wealth is built in accordance with the principles of Feng Shui, symbolizing wealth and life. The huge 66m bronze ring of the fountain is a symbol of oneness in spirit as well as the solidarity, equality and goodwill which exists between all races and religions in Singapore. The inward flowing water of symbolizes the retention of wealth in Suntec City."
Punggol Waterway Park,2.5,"Punggol Waterway Park (PWP) is a riverside park in Punggol, northeastern Singapore. Named the longest man-made waterway in Singapore, this Park spreads over 12.5 hectares. The four zones of the park – Nature Cove with its manicured gardens, Recreation Zone with children’s play areas and exercise arenas, and Heritage Zone and Green Gallery with rich biodiversity – have something to offer every member of the family, making it a great weekend retreat."
St John's Island Singapore,3.4,"St. John's Island is a stunning island known for its chequered past and the former prison feel, located approximately 6.5 km south off of the main island of Singapore. The mesmerising sight is visited for the small patch of mangrove trees and turquoise water beaches used by the families for picnicking. It is also frequented for a spot of fishing. This, as well as its closeness to the main island, has made St. John's Island an ideal day trip from Singapore."
Cathedral of the Good Shepherd,2.4,"Cathedral of the Good Shepherd is the oldest Roman Catholic Church in Singapore located in the Museum Planning Area within the Civic District. Founded in 1832 by the Paris Foreign Missions Society, it is a designated National Monument of Singapore. The Cathedral lies between the parallel Queen and Victoria Streets and resembles the dazzling London's St Paul's Church and St Martin-in-the-Fields architecturally. The church holds services including Weekday Masses, Anticipation Masses, Sunday Masses and Confessions."
Trick Eye Museum Singapore,2.5,"The Trick Eye Museum is a museum of optical illusions and 4D entertainment at Resorts World Sentosa. Singapore’s first 4D and AR-enabled gallery, this museum hosts six themed attractions that leave visitors gaping in amazement and wonder."
Geylang Serai Market,3.5,"Geylang Serai is one of the biggest and busiest wet markets of Singapore. Situated in the heart of the Malay community, the market is known for selling everything related to Malay food and its preparation at some of the cheapest prices in Singapore. Geylang Serai New Market also specialises in Malay and Indian Cuisine. The market has two storeys - while the ground floor focuses on the famous wet market selling fish and spices and everything in between, the top floor is littered with stalls selling all kinds of delicious food items."
Wild Wild Wet,2.5,"Wild Wild Wet is a water-themed fun park, one of the largest in Singapore, located at Pasir Ris, Downtown region. Housing twisting water slides, wave pools, and water ramp among other adrenaline-pumping and thrilling water rides, this waterpark is one of the most loved family attractions in the Lion City."
Flower Dome Conservatory,2.5,"Immerse yourself in the beauty and diversity of plants and flowers from all around the globe under a single roof at Singapore's Flower Dome. The largest glass greenhouse in the world, Flower Dome is one of the two breathtakingly beautiful conservatories of Gardens by the Bay (the other being, ""Cloud Forest""). The temperature and humidity levels inside have been regulated to replicate the cool-dry climatic conditions of the Mediterranean and different arid tropical climates such as those in Australia, South America and South Africa. With an area of around 1.2 hectares, the flower dome conservatory constitutes a total of eight gardens- Olive Grove, Californian Garden, Mediterranean Garden, South American Garden, South African Garden, Australian Garden, the Baobabs and the Succulent Garden. An awe-inspiring field of flowers is present right in the centre of the conservatory."
Tiger Brewery Tour,3.3,"The Tiger Brewery is one of the most famous breweries in Singapore that claim to brew the town's most iconic beer with mere four high-quality ingredients. This brewery is most visited for its beer-brewing tours where the visitors can see beer being made from its raw form, all the way from milling the malt to packaging. It also lets the visitors watch the filling and packing process of beer from a distance and lets them taste beer even before it is fermented for alcohol, called ""wort""."
Chinatown Heritage Centre,4,"Serving as a gateway into the rich history of the bustling neighbourhood of Singapore's Chinatown, Chinatown Heritage Centre is a group of restored shophouses that exhibits the furniture, artefacts and living arrangements of early Chinese settlers. Spread across six galleries, the heritage centre houses an extensive collection of photographs and paraphernalia dating as far back as 1819, depicting the daily lives of early Chinese immigrants who risked their lives to arrive in a new city, in search of a better life, after a long and perilous journey."
Butterfly Park & Insect Kingdom,2.4,"Established as an outdoor conservatory, the Butterfly Park and Insect Kingdom is located at Imbiah on the Sentosa Island of Singapore and is home to more than fifty varieties of butterflies, beetles, macaws and a plethora of colourful insects."
CHIJMES,4,"CHIJMES (pronounced 'chimes'), located in the Downtown region of Central Singapore, is a former convent, now known for its luxuriant food and beverage scene in the heart of the cosmopolitan. Acronym for the Convent of the Holy Infant Jesus Educational School, this historic complex came into existence as a Catholic convent school in 1852 and was formerly referred to as the Convent of the Holy Infant Jesus. The imposing precinct has been refurbished to its original architectural glory with the former classrooms and halls metamorphosed into hip cafes, suave bars, and themed restaurants."
The Battlebox,3.9,"The Battlebox is a war bunker dating back to World War II, now converted into a museum. Located at Fort Canning Hill, this former bomb-proof command centre/shelter is regarded as one of the prime touristic spots in Singapore, also known as Fort Canning Bunker. It was inside the walls of Battlebox that the British decided to surrender Singapore to the Japanese. Now, the Battlebox museum unveils true causes that led to the disastrous and largest capitulation in British History."
Southern Ridges,4.6,"The Southern Ridges Trail is a 10-kilometre hiking route in southern Singapore. One of the most picturesque natural walks of the Lion City, the Southern Ridges Trail offers stunning views of the skyline waterfront and a stroll across fascinating natural and architectural marvels. Spread across four havens of exotic flowering plants and tropical animals – Mount Faber Park, Telok Blangah Hill Park, HortPark, and Kent Ridge Park, Southern Ridges also consists of the country’s highest pedestrian bridge, suspended at a height of 36 metres across two hills."
MacRitchie Reservoir,4.7,"Positioned at 181 Lornie Road, the MacRitchie Reservoir Park forms a part of the water catchment system of Singapore and is a Mecca for nature admirers as well as sports fanatics. Covering an area of 12 hectares, the park is a hidden gem located coyly amidst pristine surroundings and offering a respite to the Singaporeans who treasure it immensely. Since MacRitchie Reservoir is situated close to the city centre, it is a favourite spot where one can indulge in a variety of activities like bird watching, kayaking, canoeing and hiking as well."
Marina Barrage,4.5,"Marina Barrage is both a flood-control rooftop dam and a stunning park with a gob-smacking skyline view of Singapore, located at the southern tip of the main island, and a short walk away from Gardens by the Bay. Although its primary function serves as a dam, Marina Barrage is rather popular for recreation on its green, roof-top expanse which is always scattered with local flying flashy kites."
Sungei Buloh Wetland Reserve,4,"Sungei Buloh Wetland Reserve is a Heritage Park at Kranji Way in Northern Singapore. Located at the banks of the Buloh River, this is Singapore’s first ASEAN Heritage Park that boasts of a stunning diversity of flora and fauna spread across a 202-hectare wetland and mangrove ecosystem. With more than 230 bird species – including significant migratory populations, thousands of plant varieties and exotic animals, Sungei Buloh is a great place to learn about the bounty and conservation of nature."
Bukit Timah Nature Reserve,4.5,"Home to around 40% of the native flora and fauna of Singapore, the Bukit Timah Nature Reserve is one of the two ASEAN Heritage Parks in Singapore. This 400-acre natural wonderland, considered one of the largest remaining rainforests of the country, is found on Bukit Timah Hill, the tallest hill of Singapore. Established in 1883 as a forest reserve, the Bukit Timah Nature Reserve is the perfect place for tourists to see the natural ecology of a humid, equatorial region such as Singapore, with its pristine charm preserved and maintained by the authorities."
Coney Island,3.7,"Located off the northeastern coast of Singapore is the picturesque island of Pulau Serangoon, or as it is more popularly known, Coney Island.  A beautiful little island, Coney Island is known for housing a wide variety of flora and fauna, thanks to the vast diversity of habitats that are found here, such as coastal forests, woodlands, grasslands, and mangroves. These habitats are also ideal for birds to thrive and grow, and thus the Coney Island is also a bird watcher’s delight."
Fort Siloso,4.6,"Fort Siloso is Singapore's only preserved coastal fort converted into a military museum containing World War II memorabilia like guns, remains of fortified military structures and tunnels. The main attraction of Fort Siloso is the Skywalk. Eleven storeys high, it provides visitors with a magnificent panoramic view of the surrounding landscape."
Peranakan Museum Singapore,4.6,"The first of its kind in the world, the Peranakan Museum is devoted to exploring the Pernankan cultures present in Singapore, the former Straits Settlements in Malacca and Penang, and other regions of Southeast Asia that are home to the Peranakan community. Housed in the iconic Old Tao Nan School Building, this classic museum once acted as an extended wing of the famous Asian Civilisations Museum which used to be located here, and is currently a sister museum to the same, specialising in tracing the origins and development of Peranakan culture."
Singapore Armenian Church,3.4,"The Armenian Church of Saint Gregory the Illuminator is the oldest Church in Singapore, locally referred to as the Armenian Church. It is located in a quiet place in the Hill Street vicinity and is one of the masterpieces of the Irish architect, George D Coleman. The Armenian community of Singapore regard this place as their spiritual abode, and the church now serves as a beautiful venue for couples to tie their knot in holy matrimony. The grand edifice is built in a British-neoclassical inspired architecture. This tranquil church is always a good option for an evening stroll."
Kong Meng San Phor Kark See Monastery,3.6,"The Kong Meng San Phor Kark See Monastery is Singapore's largest Buddhist temple, sitting on 75,470 square meters of land. Built by Zhuan Dao in the early 20th century, this temple is located in Bishan and is considered to be a very sacred place by the Buddhists. The monastery is famed for housing one of Asia's largest Buddhist statues, located in the Hall of No Form. Made of bronze, this marvel is 13.8 meters tall and weighs 55 tonnes. Kong Meng San Phor Kark See is a must-visit for people interested in Buddhism and those wanting to learn more about the teachings of Buddha."
Kusu Island,3.4,"Part of the southern islands, Kusu Island is a pristine island just 5.6 km to the south of the main island of Singapore. The pristine island is famous for its clear blue waters and a breathtaking view from the beaches. It also has a very rich history from which it also derives its name as Kusu means turtle or tortoise in Chinese. As Kusu Island is just a short distance from the mainland, it is extremely famous amongst the locals and is a place visited by many who wish to spend the day in complete relaxation that is attained by the calm atmosphere of the island. It can also be entirely covered by walking from end to end in 20 minutes."
Bugis Street,2.6,"Of the many malls and markets that rightly make Singapore a shopper’s paradise, Bugis Street is one of them. This popular shopping destination comprises of over 800 different shops and stalls in all sizes, which offer the latest trends in the fashion industry, and that too at affordable prices! Not only shopping, but the street is also popular for a myriad of other activities too, and enjoying the lip-smacking delicacies here is one of them."
Palawan Beach,3.6,"The gorgeous Palawan Beach on Sentosa Island is one of the best family beaches in Singapore with fine white sand, the clear blue water and the warm, cosy atmosphere. Out of the three beaches in Sentosa - Siloso, Tanjong and Palawan - the latter is often considered to be the most relaxing and is the only one that is kid-friendly."
Tanjong Beach,NaN,"Revered for its white sandy shoreline, the man-made Tanjong Beach is nestled pristinely on Sentosa Island of Singapore. It is less crowded as compared to the other two touristic beaches on Sentosa, and attracts people who come here to take a break from the chaotic life of the city."
Tanjong Beach Club,2.5,"One of the world's best beach clubs, the Tanjong Beach Club is known for the quirky beachside fare, lined with striped deck chairs and a chic swimming pool for its patrons. Enjoy a delectable meal, have a sparkly drink, go swimming, play beach games or sunbathe on one of the sun-loungers of the club."
Wave House Sentosa,2.5,"Covering an area of 70,000 square feet, Wave House Sentosa is a sensational beachfront venue, located at Siloso Beach. The specially designed wave pools enable people to experience high-adrenaline flowboarding on the world-famous Double FlowRider and FlowBarrel wave rides."
Lau Pa Sat,3.7,"Located at 18 Raffles Quay, Lau Pa Sat is a popular hawker centre, and what can be called as Singapore's version of the food court. Recognised as a national monument in 1973, this iconic landmark of Singapore metamorphoses food, architecture and history together. Also known as the Telok Ayer Market, Lau Pa Sat sees numerous footfalls from gastronomes all over the world."
Singapore Art Museum,3.6,"The Singapore Art Museum (also called SAM) specialises in international contemporary art practices with an emphasis laid on Singapore and South-East Asia. The museum is conveniently situated in the heart of the city of Singapore. Previously known as Fine-Art museum, SAM aims to breathe art into life. They plan on having a stimulating space to think, feel, experience and imagine. The museum is housed in a restored 19th-century old school that adds to the vibes of its antiquity and contemporary atmosphere. SAM is home to some of the ancient classic and modern international art. It also collaborates with contemporary international museums of its like to curate and hosts contemporary exhibitions."
Gardens by the Bay,5,"A must-visit place in Singapore, Gardens by the Bay is a 101 hectare nature park, and botanic gardens. Home to almost 4,00,000 plants, it is famous for the awe-inspiring Supertree Groves, SkyWay, Flower Dome and the hypnotic Garden Rhapsody, the light and sound show.Timings:  5:00 AM - 2:00 AM, Conservatories & OCBC Skyway: 9:00 AM - 9:00 PM, Last Ticket Sale: 8:00 PMEntry Fee: Gardens: Free, Conservatories: Adult: SGD 28, Child (under 13yr): SGD 13, OCBC Skyway: Adult: SGD 8, Child (under 13yr): SGD 5  Nearest MRT: Bayfront"
Sentosa Island,4.2,"A tiny resort-island off the southern coast of Singapore, Sentosa Island is home to themed attractions, sun-washed beaches, lush rainforests, amazing spas and some popular resort hotels."
Marina Bay Sands,5,"Singapore's most iconic hotel, Marina Bay Sands is a resort complex, ranked as the world's most expensive standalone casino property. The 55-storey tower is home to the world's largest infinity pool and atrium casino. Other prime attractions include the Shoppes Mall, ArtScience Museum and Sands SkyPark.  Nearest MRT:  Bayfront"
Tiger Sky Tower,4.4,"Tiger Sky Tower is Singapore's highest observation tower. Measuring an impressive height of 131 metres, it is a landmark of Singapore. It affords a sweeping view of the entire skyline in all its magnificence, with a far-reaching view of the Johor Bahru and Indonesia skylines visible in the distant horizon.Timings: 9:00 AM - 9:00 PM,Last Entry: 8:45 PMEntry Fees: Single Ride: SGD 10 - SGD 18,Unlimited rides: SGD 15 - SGD 23"
Lazarus Island,3.2,"One of Singapore's best-kept secrets, the Lazarus Island is nestled south of mainland Singapore. With its breathtakingly beautiful surroundings, the beach is a perfect sandy affair and an ideal spot to soak in the rays and have a picnic."
Universal Studios Singapore,5,"Universal Studios Singapore is a theme park located in Resorts World Sentosa. With 28 thrilling rides, exciting attractions, spectacular shows, and divided into seven fun zones, it is a must-visit place in Singapore.Timings: 10:00 AM - 6:00 PMEntry Fees: Adult (Age 13-59): SGD81Child (Age 4-12): SGD61Senior (Age 60 and above): SGD43"
Pulau Ubin,4.7,"Pulau Ubin is a 10.2 square kilometre island lying northeast of Singapore. Translating to Granite Island in Malay, it is one of the last two kampongs of Singapore - a place where one can truly enjoy and experience Singapore for what it used to be. The main attraction is the Chek Jawa Wetlands."
ArtScience Museum,4.5,"The ArtScience museum at Marina Bay is a premier exhibition space featuring touring exhibitions from art and science. One of the quirkiest buildings and things to see in Singapore, it houses ever-changing themes and displays across its 21 gallery spaces.Timings: 10:00 AM - 7:00 PMLast admission at 6:00 PM"
Helix Bridge,4.3,"Connecting Marina Central to Marina South lays the gorgeous Helix Bridge. Popularly known as ""The Helix"", it is a pedestrian bridge linking the city's existing CBD area with the newly developed Bayfront district. The stunning edifice shines dazzlingly at night by ribbons of LED lighting, turning it into a popular tourist attraction."
SEA Aquarium,4.7,"The South East Asia Aquarium or the SEA Aquarium is one of the largest aquariums in the world, home to more than 800 species of aquatic wildlife. The chief draw is the Open Ocean Tank - world's largest viewing panel and the only aquarium in the world to house the giant oceanic manta ray.Timings: 10:00 AM - 7:00 PMEntry Fees: Adult ( 13-59 years): SGD 40 Child (4-12 years): SGD 29 Senior (60 years and above): SGD 29"
Singapore Night Safari,4.3,"World's first nocturnal zoo, Singapore Night Safari houses more than 130 species of animals. It uses the open-concept enclosures or trams to take the visitors on a 45-minute commented tour of its nocturnal animals and habitats.Timings: 7:15 PM - 12:00 AM,Last ticket sale at 11:15 PMEntry Fees: Adults: SGD 47,Children: SGD 31,Seniors: SGD 20"
Cloud Forest,2.6,"The Cloud Forest Dome, housed in Gardens by the Bay, is a greenhouse-like structure, re-creating the tropical montane climate found between 1500m and 3000m. The centrepiece attraction is a 35m high mountain with the world's tallest indoor waterfall.Timings: 9:00 AM - 9:00 PMLast ticket sold at 8:00 PM Last entry: 8:00 PMMist Timings: 10:00 AM, 12:00 PM, 2:00 PM, 4:00 PM, 6:00 PM, 8:00 PM"
Singapore Flyer,4.6,"Singapore Flyer is Asia's largest giant observation wheel. An iconic thing to see in Singapore, the stunning view from the flyer is best experienced at dusk - view the iconic attractions like Singapore River, Raffles Place, Merlion Park lit up spectacularly at night. Timings : Ticket Booth: 8:00 AM - 10:00 PM, Wheel: 8:30 AM - 10:30 PM, Last entry at 10:00 PM Entry Fee: Adult: SGD: 33, Child (under 13yr): SGD 21 Nearest MRT:  Promenade"
Singapore Botanic Gardens,4.9,"Singapore Botanic Gardens is the only tropical garden to feature as a UNESCO World Heritage Site. The 82-hectare garden houses more than 10,000 species of flowering plants and trees. The prime attractions are the National Orchid Garden, and Jacob Ballas Children’s Garden.Timings: 5:00 AM - 12:00 AMEntry Fees: Free Nearest MRT:  Botanic Gardens"
